Id,Name,Rank,Class,Hp,Melee,Ranged,Comment
1,Kai'itza of Xhotl,General,Infantry,7,"(-1,-1, 0);( 0,-1, 4);( 1,-1, 0);
(-1, 0, 4);( _, _, _);( 1, 0, 4);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
2,Shrine Guardian,Veteran,Spear,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 4);
(-1, 0, 0);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 4);",,
3,Crocodilian Brave,Special,Infantry,4,"(-1,-1, 2);( 0,-1, 4);( 1,-1, 2);
(-1, 0, 3);( _, _, _);( 1, 0, 3);
( -1, 1, 0);( 0, 1, 2);(1, 1, 0);",,
4,Crocodilian Brave,Special,Infantry,4,"(-1,-1, 2);( 0,-1, 4);( 1,-1, 2);
(-1, 0, 3);( _, _, _);( 1, 0, 3);
( -1, 1, 0);( 0, 1, 2);(1, 1, 0);",,
5,Shrine Guardian,Veteran,Spear,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 4);
(-1, 0, 0);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 4);",,
6,Leatherback,Veteran,Infantry,4,"(-1,-1, 1);( 0,-1, 3);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 1);( 0, 1, 1);(1, 1, 1);",,
7,Armoured Trike,Special,Cavalry,5,"(-1,-1, 4);( 0,-1, 3);( 1,-1, 4);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 2);(1, 1, 0);",,
8,Chunkata Coldblood,Command,Infantry,5,"(-1,-1, 2);( 0,-1, 5);( 1,-1, 2);
(-1, 0, 3);( _, _, _);( 1, 0, 3);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
9,Compy Dasher,Regular,Cavalry,3,"(-1,-1, 2);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 2);( _, _, _);( 1, 0, 0);
( -1, 1, 2);( 0, 1, 0);(1, 1, 0);",,
10,Lizardman Bulwark,Regular,Spear,4,"(-1,-1, 0);( 0,-1, 2);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 2);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
11,Que-thil Sor'lax,Command,Infantry,5,"(-1,-1, 2);( 0,-1, 3);( 1,-1, 2);
(-1, 0, 3);( _, _, _);( 1, 0, 3);
( -1, 1, 1);( 0, 1, 0);(1, 1, 1);",,
12,Lizardman Bulwark,Regular,Spear,4,"(-1,-1, 1);( 0,-1, 2);( 1,-1, 0);
(-1, 0, 2);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
13,Leatherback,Veteran,Infantry,4,"(-1,-1, 1);( 0,-1, 3);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 1);( 0, 1, 1);(1, 1, 1);",,
14,Shrine Guardian,Veteran,Spear,3,"(-1,-1, 4);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 0);
( -1, 1, 4);( 0, 1, 0);(1, 1, 0);",,
15,Shrine Guardian,Veteran,Spear,3,"(-1,-1, 4);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 0);
( -1, 1, 4);( 0, 1, 0);(1, 1, 0);",,
16,Lizardman Bulwark,Regular,Spear,4,"(-1,-1, 1);( 0,-1, 2);( 1,-1, 0);
(-1, 0, 2);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
17,Skink Dartspitter,Recruit,Ranged,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,0);(0,-3,3);(1,-3,0);
(-1,-2,3);(0,-2,3);(1,-2,3);
(-1,-1,3);(0,-1,3);(1,-1,3)",
18,Cruor Sacrifice,Recruit,Berserker,1,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 5);( 0, 1, 0);(1, 1, 5);",,
19,Compy Dasher,Regular,Cavalry,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 2);( 0, 1, 2);(1, 1, 2);",,
20,Armoured Trike,Special,Cavalry,5,"(-1,-1, 4);( 0,-1, 3);( 1,-1, 4);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 2);(1, 1, 0);",,
21,Skink Dartspitter,Recruit,Ranged,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,0);(0,-3,3);(1,-3,0);
(-1,-2,3);(0,-2,3);(1,-2,3);
(-1,-1,3);(0,-1,3);(1,-1,3)",
22,Skink Dartspitter,Recruit,Ranged,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,0);(0,-3,3);(1,-3,0);
(-1,-2,3);(0,-2,3);(1,-2,3);
(-1,-1,3);(0,-1,3);(1,-1,3)",
23,Zund-Ua The Brave,Command,Spear,6,"(-1,-1, 4);( 0,-1, 0);( 1,-1, 4);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 2);( 0, 1, 0);(1, 1, 2);",,
24,Dro'ka Klantos,Command,Infantry,5,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 3);( _, _, _);( 1, 0, 3);
( -1, 1, 4);( 0, 1, 1);(1, 1, 4);",,
25,Cruor Sacrifice,Recruit,Berserker,1,"(-1,-1, 5);( 0,-1, 0);( 1,-1, 5);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
26,Cruor Sacrifice,Recruit,Berserker,1,"(-1,-1, 5);( 0,-1, 0);( 1,-1, 5);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
27,Huahua S'tonk,Command,Ranged,5,"(-1,-1, 3);( 0,-1, 3);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 1);(1, 1, 0);","(-1,-3,5);(0,-3,5);(1,-3,5);
(-1,-2,5);(0,-2,5);(1,-2,5);
(-1,-1,5);(0,-1,5);(1,-1,5);",
28,Lizardman Bulwark,Regular,Spear,4,"(-1,-1, 0);( 0,-1, 2);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 2);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
29,Quillshot,Elite,Ranged,4,"(-1,-1, 0);( 0,-1, 3);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 1);( 0, 1, 1);(1, 1, 1);","(-1,-3,3);(0,-3,3);(1,-3,3);
(-1,-2,3);(0,-2,3);(1,-2,3);
(-1,-1,0);(0,-1,3);(1,-1,0)",
