Id,Name,Rank,Class,Hp,Melee,Ranged
1,Gonke Longtooth,General,Infantry,6,"(-1,-1, 5);( 0,-1, 5);( 1,-1, 5);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
2,Orc Deathbringer,Regular,Berserker,2,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 3);( 0, 1, 5);(1, 1, 3);",
3,Orc Ravager,Veteran,Infantry,3,"(-1,-1, 5);( 0,-1, 3);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
4,Orc Ravager,Veteran,Infantry,3,"(-1,-1, 2);( 0,-1, 3);( 1,-1, 5);
(-1, 0, 1);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
5,Orc Ravager,Veteran,Infantry,3,"(-1,-1, 2);( 0,-1, 3);( 1,-1, 5);
(-1, 0, 1);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
6,Goblin Shanker,Recruit,Infantry,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 4);(1, 1, 1);",
7,Orc Warhog,Elite,Cavalry,4,"(-1,-1, 0);( 0,-1, 2);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 4);
( -1, 1, 0);( 0, 1, 0);(1, 1, 3);",
8,Orc Butcher,Special,Infantry,4,"(-1,-1, 3);( 0,-1, 4);( 1,-1, 3);
(-1, 0, 3);( _, _, _);( 1, 0, 3);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
9,Goblin Shanker,Recruit,Infantry,3,"(-1,-1, 1);( 0,-1, 4);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
10,Orc Deathbringer,Regular,Berserker,2,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 3);( 0, 1, 5);(1, 1, 3);",
11,Goblin Spikeman,Recruit,Spear,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 1);",
