Id,Name,Rank,Class,Hp,Melee,Ranged,Comment
1,Father Nicodemus,General,Infantry,8,"(-1,-1, 0);( 0,-1, 5);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 2);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
2,Brother Gabriel,Command,Infantry,7,"(-1,-1, 0);( 0,-1, 3);( 1,-1, 0);
(-1, 0, 3);( _, _, _);( 1, 0, 3);
( -1, 1, 0);( 0, 1, 3);(1, 1, 0);",,
3,Templar Longbow,Elite,Ranged,5,"(-1,-1, 2);( 0,-1, 2);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-4,3);(0,-4,3);(1,-4,3);
(-1,-3,3);(0,-3,3);(1,-3,3);
(-1,-2,3);(0,-2,3);(1,-2,3);
(-1,-1,0);(0,-1,0);(1,-1,0);",
4,Brother Andronicus,Command,Infantry,5,"(-1,-1, 2);( 0,-1, 3);( 1,-1, 4);
(-1, 0, 1);( _, _, _);( 1, 0, 5);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
5,Templar Longbow,Elite,Ranged,5,"(-1,-1, 2);( 0,-1, 2);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-4,3);(0,-4,3);(1,-4,3);
(-1,-3,3);(0,-3,3);(1,-3,3);
(-1,-2,3);(0,-2,3);(1,-2,3);
(-1,-1,0);(0,-1,0);(1,-1,0);",
6,The Merciful Sister,Command,Infantry,6,"(-1,-1, 5);( 0,-1, 4);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
7,Zadoh The Confessor,Command,Infantry,6,"(-1,-1, 0);( 0,-1, 2);( 1,-1, 0);
(-1, 0, 5);( _, _, _);( 1, 0, 5);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
8,Simeon The Divine,Command,Infantry,5,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 2);( _, _, _);( 1, 0, 2);
( -1, 1, 3);( 0, 1, 5);(1, 1, 3);",,
9,Palisade,Veteran,Spear,9,"(-1,-1, 1);( 0,-1, 1);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,can move
10,Templar Lancer,Special,Cavalry,6,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 5);
( -1, 1, 0);( 0, 1, 0);(1, 1, 3);",,
11,Templar Lancer,Special,Cavalry,6,"(-1,-1, 3);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 5);( _, _, _);( 1, 0, 0);
( -1, 1, 3);( 0, 1, 0);(1, 1, 0);",,
12,Templar Jackal,Regular,Cavalry,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 2);( 0, 1, 3);(1, 1, 2);",,
13,Templar Longsword,Elite,Infantry,4,"(-1,-1, 4);( 0,-1, 5);( 1,-1, 4);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
14,Templar Trebuchet,Veteran,Ranged,5,"(-1,-1, 2);( 0,-1, 0);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,5);(0,-3,5);(1,-3,5);
(-1,-2,0);(0,-2,5);(1,-2,0);
(-1,-1,0);(0,-1,5);(1,-1,0);",
15,Palisade,Veteran,Spear,9,"(-1,-1, 1);( 0,-1, 1);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
16,Templar Lancer,Special,Cavalry,6,"(-1,-1, 3);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 5);( _, _, _);( 1, 0, 0);
( -1, 1, 3);( 0, 1, 0);(1, 1, 0);",,
17,Templar Sanctifier,Recruit,Berserker,1,"(-1,-1, 2);( 0,-1, 5);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
18,Templar Partisan,Recruit,Spear,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 0);
( -1, 1, 2);( 0, 1, 0);(1, 1, 0);",,
19,Templar Jackal,Regular,Cavalry,3,"(-1,-1, 2);( 0,-1, 3);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
20,Templar Zealot,Regular,Spear,4,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 1);(1, 1, 3);",,
21,Palisade,Veteran,Spear,9,"(-1,-1, 1);( 0,-1, 1);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,can move
22,Templar Partisan,Recruit,Spear,3,"(-1,-1, 2);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
23,Templar Lancer,Special,Cavalry,6,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 5);
( -1, 1, 0);( 0, 1, 0);(1, 1, 3);",,
24,Templar Trebuchet,Veteran,Ranged,5,"(-1,-1, 2);( 0,-1, 0);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,5);(0,-3,5);(1,-3,5);
(-1,-2,0);(0,-2,5);(1,-2,0);
(-1,-1,0);(0,-1,5);(1,-1,0);",
25,Templar Sanctifier,Recruit,Berserker,1,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 2);( 0, 1, 5);(1, 1, 2);",,
26,Templar Zealot,Regular,Spear,4,"(-1,-1, 3);( 0,-1, 1);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
27,Templar Partisan,Recruit,Spear,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 2);",,
28,Templar Longbow,Elite,Ranged,5,"(-1,-1, 2);( 0,-1, 2);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-4,3);(0,-4,3);(1,-4,3);
(-1,-3,3);(0,-3,3);(1,-3,3);
(-1,-2,3);(0,-2,3);(1,-2,3);
(-1,-1,0);(0,-1,0);(1,-1,0);",
29,Templar Zealot,Regular,Spear,4,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 0);
( -1, 1, 3);( 0, 1, 1);(1, 1, 0);",,
30,Templar Zealot,Regular,Spear,4,"(-1,-1, 0);( 0,-1, 1);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
31,Templar Sanctifier,Recruit,Berserker,1,"(-1,-1, 2);( 0,-1, 5);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
32,Templar Jackal,Regular,Cavalry,3,"(-1,-1, 2);( 0,-1, 3);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
33,Templar Jackal,Regular,Cavalry,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 2);( 0, 1, 3);(1, 1, 2);",,
34,Templar Partisan,Recruit,Spear,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
35,Templar Sanctifier,Recruit,Berserker,1,"(-1,-1, 2);( 0,-1, 5);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
36,Templar Trebuchet,Veteran,Ranged,5,"(-1,-1, 2);( 0,-1, 0);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,5);(0,-3,5);(1,-3,5);
(-1,-2,0);(0,-2,5);(1,-2,0);
(-1,-1,0);(0,-1,5);(1,-1,0);",
