Id,Name,Rank,Class,Hp,Melee,Ranged,Comment
1,Asul the Bygone King,General,Infantry,7,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 4);( _, _, _);( 1, 0, 4);
( -1, 1, 0);( 0, 1, 4);(1, 1, 0);",,
2,Black Rider,Special,Cavalry,5,"(-1,-1, 5);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 3);( _, _, _);( 1, 0, 0);
( -1, 1, 5);( 0, 1, 0);(1, 1, 0);",,
3,Skeleton Spearman,Regular,Spear,5,"(-1,-1, 0);( 0,-1, 1);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
4,Skeleton Archer,Regular,Ranged,3,"(-1,-1, 1);( 0,-1, 1);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,3);(0,-3,3);(1,-3,3);
(-1,-2,3);(0,-2,3);(1,-2,3);
(-1,-1,3);(0,-1,3);(1,-1,3);",
5,Plague Launcher,Elite,Ranged,4,"(-1,-1, 1);( 0,-1, 1);( 1,-1, 1);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 1);( 0, 1, 1);(1, 1, 1);","(-1,-3,4);(0,-3,4);(1,-3,4);
(-1,-2,4);(0,-2,4);(1,-2,4);
(-1,-1,4);(0,-1,4);(1,-1,4);",
6,Hellhound,Veteran,Cavalry,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 3);( 0, 1, 4);(1, 1, 3);",,
7,Zombie Gnasher,Recruit,Infantry,1,"(-1,-1, 3);( 0,-1, 4);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,can move
8,Headless Horseman,Veteran,Cavalry,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 4);
(-1, 0, 0);( _, _, _);( 1, 0, 3);
( -1, 1, 0);( 0, 1, 0);(1, 1, 4);",,
9,Ceithrel Nightwalker,Command,Infantry,5,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 5);( _, _, _);( 1, 0, 5);
( -1, 1, 0);( 0, 1, 5);(1, 1, 0);",,
10,Banshee,Special,Infantry,4,"(-1,-1, 3);( 0,-1, 5);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 3);( 0, 1, 0);(1, 1, 3);",,
11,Zombie Shambler,Recruit,Infantry,3,"(-1,-1, 1);( 0,-1, 1);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
12,Skeleton Archer,Regular,Ranged,3,"(-1,-1, 1);( 0,-1, 1);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,3);(0,-3,3);(1,-3,3);
(-1,-2,3);(0,-2,3);(1,-2,3);
(-1,-1,3);(0,-1,3);(1,-1,3);",
13,Plague Launcher,Elite,Ranged,4,"(-1,-1, 1);( 0,-1, 1);( 1,-1, 1);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 1);( 0, 1, 1);(1, 1, 1);","(-1,-3,4);(0,-3,4);(1,-3,4);
(-1,-2,4);(0,-2,4);(1,-2,4);
(-1,-1,4);(0,-1,4);(1,-1,4);",
14,Skeleton Spearman,Regular,Spear,5,"(-1,-1, 0);( 0,-1, 1);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
15,Plague Launcher,Elite,Ranged,4,"(-1,-1, 1);( 0,-1, 1);( 1,-1, 1);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 1);( 0, 1, 1);(1, 1, 1);","(-1,-3,4);(0,-3,4);(1,-3,4);
(-1,-2,4);(0,-2,4);(1,-2,4);
(-1,-1,4);(0,-1,4);(1,-1,4);",
16,Blood Golem,Elite,Infantry,5,"(-1,-1, 4);( 0,-1, 1);( 1,-1, 4);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
17,Zombie Halberd,Recruit,Spear,3,"(-1,-1, 1);( 0,-1, 0);( 1,-1, 1);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,can move
18,Skeleton Archer,Regular,Ranged,3,"(-1,-1, 1);( 0,-1, 1);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,3);(0,-3,3);(1,-3,3);
(-1,-2,3);(0,-2,3);(1,-2,3);
(-1,-1,3);(0,-1,3);(1,-1,3);",
19,Zombie Halberd,Recruit,Spear,3,"(-1,-1, 1);( 0,-1, 0);( 1,-1, 1);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,can move
20,Zombie Gnasher,Recruit,Infantry,1,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 3);( 0, 1, 4);(1, 1, 3);",,can move
21,Skeleton Spearman,Regular,Spear,5,"(-1,-1, 2);( 0,-1, 1);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
22,Zombie Gnasher,Recruit,Infantry,1,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 3);( 0, 1, 4);(1, 1, 3);",,can move
23,Hellhound,Veteran,Cavalry,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 3);( 0, 1, 4);(1, 1, 3);",,
